科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,日光ケミカルズ(株),,7230696,
,日本表面化学(株),,12973290,
,(株)粘土科学研究所,,59730,
,パウダーテック(株),,16780808,
,阪神溶接機材(株),,880000,
,林産業(株),,19008,
,昭和電工マテリアルズ(株),,406560,
,日吉化学工業(株),,175781,
,(株)PCSジャパン,,2541000,
,富士化学工業(株),,171784,
,北三(株),,12700,
,豊国商事(株),,133232,
,(株)マノール,,2766671,
,ミマスクリーンケア(株),,26020,
,三浦アクアテック(株),,21060,
,三宅化学工業(株),,93500,
,三菱商事ライフサイエンス(株),,1500616,
,三井化学産資(株),,623700,
,(株)村井吉見工場,,302148,
,メガニクス(株),,25110,
,明和油化工業(株),,43890,
,森永乳業(株),,36864055,
,山一化成(株),,2323048,
,ヤスハラケミカル(株),,26075896,
,ユ二工業(株),,259600,
,KFケミカル(株),,4831200,
,島貿易(株),,51825,
小計,,,117192928,
合計,,,395870775,
