科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,DICグラフィックス(株),,10329340,
〃,カンサイタカラ印刷(株),,3073367,
〃,ダイヤモンド印刷工業(株),,1530783,
〃,(株)協同工芸社,,1369083,
〃,興和江守(株),,1265770,
〃,三和印刷工業(株),,1149555,
〃,(株)ULS,,928785,
〃,文隆印刷工業股分(有),,875000,
〃,(株)ラベルジャパン,,825000,
〃,(株)サンワ,,753203,
〃,永坂シール印刷(株),,597789,
〃,(株)カネヒラ,,584870,
〃,東南インキ(株),,580338,
〃,ラベル工業(株),,569041,
〃,(株)セイホウ,,533258,
〃,(株)ダイキョウ,,500269,
〃,その他取引先200件,,18056086,
,売掛金計,,43521537,
未収入金,関西電力,太陽光発電売電8/16～9/13,129729,
〃,関西電力,太陽光発電売電9/14～9/30,69222,
,未収入金計,,198951,
計,,,43720488,
