科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,(株)SUMCO,,125072200,
〃,AGCエレクトロニクス(株),,83696404,
〃,目亜化学工業(株),,75732800,
〃,東海興業(株),,40791300,
〃,(株)村田製作所野洲,,25246100,
〃,SUMCOテクシブ(株),,16888520,
〃,(株)岡山村田製作所,,11376200,
〃,(株)ルネサステクノロジ福岡,,10906170,
〃,AGC(株)(旭硝子),,10417000,
〃,(株)福井村田製作所,,8444480,
〃,エム・イー・エム・シー,,8030000,
〃,(株)富山村田製作所,,7516300,
〃,アサヒエンジニアリング(株),,6574535,
〃,ツカサ重機(株),,4516600,
〃,三菱電機トレーディング(株)福岡,,4492444,
〃,三菱電機トレーディング(株)北伊丹,,3348400,
〃,鯖江精機(株),,2442000,
〃,東洋新薬,,1689600,
〃,日本発条(株),,924495,
〃,(株)モリタアンドカンパニー,,385000,
〃,岐阜製砥,,364100,
〃,住友電装(株),,290400,
〃,(株)渡辺商行,,266200,
〃,新報国製鉄(株),,228800,
〃,河本化成工業(株),,105490,
〃,エム・テクニック(株),,38500,
計,,,,
