"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","(有)JRB","","881214",""
"","京成自動車工業(株)","","909689",""
"","田中自動車(株)","","886646",""
"","(有)ボルズ","","881468",""
"","(有)八木自動車","","1148915",""
"","(有)メディカルオフィス長尾","","1000000",""
"","吉田興業(株)","","2724700",""
"","(株)アレップス","","5830000",""
"","ライフトラスト(株)","","4500000",""
"","(株)アクアプラント","","1254000",""
"","","","3933981",""
"","その他一括","","7352133",""
"小計","","","31302746",""
"未収入金","(有)ハイエースコーポレーション","","662446","家賃"
"","(株)アドフラッシュ","","887599","家賃"
"小計","","","1550045",""
"計","","","32852791",""
