"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","(株)グラセル","","8098076",""
"〃","(株)辰巳","","7288906",""
"〃","戎屋化学工業(株)","","2163535",""
"〃","三洋化学工業(株)","","597437",""
"〃","日栄樹脂工業(株)","","2501723",""
"〃","(有)T.K.D","","4267447",""
"〃","(株)HATA","","6484173",""
"〃","(株)プライフ","","3681914",""
"〃","浅井硝子(株)","","3126207",""
"〃","武内容器(株)","","9802459",""
"〃","明樹脂工芸(株)","","205841",""
"〃","石堂硝子(株)","","284460",""
"〃","(株)山一化学工業","","354222",""
"〃","原光化学工業(株)","","476245",""
"〃","(株)インディ","","224510",""
"〃","(株)マサミ","","118641",""
"〃","大興化成(株)","","271804",""
"〃","三宝化成(株)","","8993",""
"〃","ユニプラス(株)","","426610",""
"計","","","50383203",""
